stock,quarter,sales,operatingProfit,netIncome,operatingMargin,netProfitMargin,PER,PBR,ROE
티비에이치글로벌,10년 12월,-,-,-,-,-,-,2.25,-
티비에이치글로벌,11년 3월,1118,134,75,12.02,7.21,57.74,2.56,0.04
티비에이치글로벌,11년 6월,1016,31,39,3.03,3.88,130.32,2.93,0.02
티비에이치글로벌,11년 9월,961,-8,-20,-0.88,-1.93,-176.62,1.91,-0.01
티비에이치글로벌,11년 12월,1622,156,82,9.61,5.27,43.46,1.88,0.04
티비에이치글로벌,12년 3월,1291,28,1,2.15,0.26,"3,105.22",2.15,0
티비에이치글로벌,12년 6월,1169,56,19,4.75,1.81,122.86,1.26,0.01
티비에이치글로벌,12년 9월,1057,-44,-31,-4.20,-2.91,-103.09,1.86,-0.02
티비에이치글로벌,12년 12월,1694,241,156,14.23,10.06,19.57,1.65,0.09
티비에이치글로벌,13년 3월,1385,129,74,9.31,6.03,53.57,2,0.04
티비에이치글로벌,13년 6월,1203,78,27,6.50,2.70,124.53,1.64,0.01
티비에이치글로벌,13년 9월,1088,26,38,2.37,3.82,102.30,1.92,0.02
티비에이치글로벌,13년 12월,1876,291,227,15.50,13.11,21.60,2.24,0.11
티비에이치글로벌,15년 9월,1258,-140,-122,-11.12,-9.87,-18.52,0.99,-0.05
티비에이치글로벌,15년 12월,2510,119,62,4.73,3.33,37.52,1.03,0.03
티비에이치글로벌,16년 3월,1975,114,55,5.78,3.63,40.69,0.99,0.02
티비에이치글로벌,16년 6월,1379,-56,-44,-4.08,-3.38,-40.70,0.83,-0.02
티비에이치글로벌,16년 9월,1275,-101,-66,-7.95,-5.51,-30.80,1.05,-0.03
티비에이치글로벌,16년 12월,2593,168,26,6.46,1.85,70.38,0.88,0.01
티비에이치글로벌,17년 3월,1896,112,68,5.92,4.28,23.78,0.82,0.03
티비에이치글로벌,17년 6월,1402,4,3,0.30,0.09,847.60,1.07,0
티비에이치글로벌,17년 9월,1271,-94,-86,-7.43,-7.25,-20.98,0.89,-0.04
티비에이치글로벌,17년 12월,2375,182,5,7.65,0.83,331.32,1.11,0
티비에이치글로벌,18년 3월,1944,86,60,4.41,4.85,24.66,0.92,0.04
티비에이치글로벌,18년 6월,1408,-114,-127,-8.12,-10.32,-11.09,0.96,-0.08
티비에이치글로벌,18년 9월,1271,-176,-129,-13.88,-12.90,-7.66,0.79,-0.09
티비에이치글로벌,18년 12월,-2534,193,-381,-7.62,14.27,-1.72,0.34,-0.32
티비에이치글로벌,19년 3월,477,-9,-7,-1.97,-1.44,-74.62,0.28,0
티비에이치글로벌,19년 6월,550,25,90,4.46,16.37,6.89,0.34,0.05
티비에이치글로벌,19년 9월,421,-22,-165,-5.27,-39.21,-3.91,0.39,-0.09
티비에이치글로벌,19년 12월,660,51,-599,7.80,-90.90,-0.96,0.53,-0.44
