title,code,sector,isKOSPI,saleGrowthRate,saleGrowthRateAvg,operatingMarginRate,operatingMarginRateAvg,crawledPER,crawledPERAvg
사조씨푸드,014710,식품,True,2.56,10.85,2,3.99,-10.5,20.65
사조오양,006090,식품,True,3.96,10.85,8.27,3.99,5.79,20.65
삼광글라스,005090,포장재,True,-0.41,5.6,1.8,6.39,66.39,12.99
삼부토건,001470,건설,True,-16.62,8.53,1.88,1.03,150.24,7.02
삼성SDI,006400,전기제품,True,24.75,17.99,3.37,2.73,188.77,148.48
삼성공조,006660,자동차부품,True,-3.87,1.38,-6.03,-1.62,27.88,33.75
삼성물산,028260,복합기업,True,3.06,3.68,3.11,5.86,20.97,22.85
삼성바이오로직스,207940,제약,True,33.54,11.49,25.87,-258.49,154.89,123.4
삼성생명,032830,생명보험,True,1.48,-0.22,3.5,2.72,16.68,12.69
삼성에스디에스,018260,IT서비스,True,9.43,9.32,8.46,-0.69,26.35,23.77
삼성엔지니어링,028050,건설,True,-3.15,8.53,5.1,1.03,10.2,7.02
