title,startDate,endDate,raw,scale
LG디스플레이,2020.11.24,2020.12.04,"[6, 106, 71, 9, 0, 1, 2, 7, 7, 1, 0]","[0.05660377358490566, 1.0, 0.6698113207547169, 0.08490566037735849, 0.0, 0.009433962264150943, 0.018867924528301886, 0.0660377358490566, 0.0660377358490566, 0.009433962264150943, 0.0]"
LG상사,2020.11.24,2020.12.04,"[1, 1, 151, 17, 1, 1, 2, 0, 0, 0, 0]","[0.006622516556291391, 0.006622516556291391, 1.0, 0.11258278145695365, 0.006622516556291391, 0.006622516556291391, 0.013245033112582781, 0.0, 0.0, 0.0, 0.0]"
LG이노텍,2020.11.24,2020.12.04,"[2, 4, 98, 10, 1, 1, 2, 74, 3, 9, 20]","[0.010309278350515464, 0.030927835051546393, 1.0, 0.09278350515463918, 0.0, 0.0, 0.010309278350515464, 0.7525773195876289, 0.020618556701030927, 0.08247422680412371, 0.1958762886597938]"
LG생활건강,2020.11.24,2020.12.04,"[5, 1, 145, 46, 2, 0, 3, 1, 20, 35, 5]","[0.034482758620689655, 0.006896551724137931, 1.0, 0.31724137931034485, 0.013793103448275862, 0.0, 0.020689655172413793, 0.006896551724137931, 0.13793103448275862, 0.2413793103448276, 0.034482758620689655]"
LIG넥스원,2020.11.24,2020.12.04,"[2, 0, 34, 0, 1, 0, 1, 0, 1, 4, 4]","[0.058823529411764705, 0.0, 1.0, 0.0, 0.029411764705882353, 0.0, 0.029411764705882353, 0.0, 0.029411764705882353, 0.11764705882352941, 0.11764705882352941]"
LG헬로비전,2020.11.24,2020.12.04,"[2, 2, 51, 3, 1, 1, 2, 0, 2, 19, 1]","[0.0392156862745098, 0.0392156862745098, 1.0, 0.058823529411764705, 0.0196078431372549, 0.0196078431372549, 0.0392156862745098, 0.0, 0.0392156862745098, 0.37254901960784315, 0.0196078431372549]"
LG하우시스,2020.11.24,2020.12.04,"[2, 0, 111, 24, 1, 6, 2, 2, 2, 1, 4]","[0.018018018018018018, 0.0, 1.0, 0.21621621621621623, 0.009009009009009009, 0.05405405405405406, 0.018018018018018018, 0.018018018018018018, 0.018018018018018018, 0.009009009009009009, 0.036036036036036036]"
LS네트웍스,2020.11.24,2020.12.04,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
S&TC,2020.11.24,2020.12.04,"[225, 218, 263, 198, 141, 127, 204, 266, 223, 192, 265]","[0.7050359712230215, 0.6546762589928058, 0.9784172661870504, 0.5107913669064749, 0.10071942446043165, 0.0, 0.5539568345323741, 1.0, 0.6906474820143885, 0.4676258992805755, 0.9928057553956835]"
S&T모티브,2020.11.24,2020.12.04,"[225, 218, 263, 198, 141, 127, 204, 266, 223, 192, 265]","[0.7050359712230215, 0.6546762589928058, 0.9784172661870504, 0.5107913669064749, 0.10071942446043165, 0.0, 0.5539568345323741, 1.0, 0.6906474820143885, 0.4676258992805755, 0.9928057553956835]"
NH투자증권,2020.11.24,2020.12.04,"[27, 9, 72, 11, 1, 1, 38, 80, 18, 17, 9]","[0.3291139240506329, 0.10126582278481013, 0.8987341772151899, 0.12658227848101267, 0.0, 0.0, 0.46835443037974683, 1.0, 0.21518987341772153, 0.20253164556962025, 0.10126582278481013]"
LS전선아시아,2020.11.24,2020.12.04,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
